Date- 10/06/2025,,,,,,,,,,,,,,,,,,,,,,,
 Aim - To compare the effects of nickel and stainless steel mesh of ONGC water.,,,,,,,,,,,,,,,,,,,,,,,
Effluent - ONGC,,,,,,,,,,,,,,,,,,,,,,,
Volume - 3.6 L,,,,,,,,,,,,,,,,,,,,,,,
Volatge - 2.1,,,,,,,,,,,,,,,,,,,,,,,
TBM - 2 (Nickel Mesh),Start Time,Pressure Before (in bar gauge),Pressure After (in bar gauge),Voltage,Current in Amps,H2%,H2 Volume,H2 in grams,"Power 
(W)",Current Density (A/m2),,TBM - 5 (SS MESH),Start Time,Pressure Before (in bar gauge),Pressure After (in bar gauge),Voltage,Current in Amps,H2%,H2 Volume,H2 in grams,"Power 
(W)",Current Density (A/m2),
T0 (10/6/25),12:53,0,-,2.1,7.19,-,-,-,-,-,,T0,15:03,0,-,2.1,9.18,-,-,-,-,-,
T1,13:53,2.88,0,2.1,7.89,66.61%,1.7265312,0.1446833146,16.569,30.76023392,,T1,16:03,3,0,2.1,9.26,80.31%,2.16837,0.181709406,19.446,36.10136452,2.43 - 2.94
T2,14:53,2.49,0,2.1,7.85,90.28%,2.0231748,0.1695420482,16.485,30.6042885,1.46 - 2.07,T2,17:03,3.36,0,2.1,10.02,92.96%,2.8111104,0.2355710515,21.042,39.06432749,
T3,15:53,3,0,2.1,7.75,91.62%,2.47374,0.207299412,16.275,30.21442495,2.4 - 2.52,T3,18:03,3.45,0,2.1,10.39,95.30%,2.959065,0.247969647,21.819,40.50682261,
T3.5,16:23,1.57,0,2.1,7.71,95.41%,1.3481433,0.1129744085,16.191,30.05847953,,T3.5,18:33,2.3,0,2.1,10.16,93.97%,1.945179,0.1630060002,21.336,39.61013645,
T4,16:53,1.53,0,2.1,7.66,86.95%,1.1973015,0.1003338657,16.086,29.86354776,,T4,19:03,2.24,0,2.1,10.59,92.14%,1.8575424,0.1556620531,22.239,41.28654971,
T4.5,17:23,1.51,0,2.1,7.52,92.83%,1.2615597,0.1057187029,15.792,29.31773879,,T4.5,19:33,2,0,2.1,9.97,96.01%,1.72818,0.144821484,20.937,38.86939571,
T5,17:53,1.52,0,2.1,7.72,92.89%,1.2707352,0.1064876098,16.212,30.09746589,,T5,20:03,2.06,0,2.1,9.65,88.76%,1.6456104,0.1379021515,20.265,37.62183236,
T5.5,18:23,1.48,0,2.1,6.95,86.62%,1.1537784,0.09668662992,14.595,27.09551657,,T5.5,20:33,2.03,0,2.1,9.97,87.50%,1.598625,0.133964775,20.937,38.86939571,
T6,18:53,1.37,0,2.1,6.95,80.40%,0.991332,0.0830736216,14.595,27.09551657,,T6,21:03,1.81,0,2.1,8.65,93.78%,1.5276762,0.1280192656,18.165,33.72319688,
T6.5,19:23,1.22,0,2.1,6.2,-,-,-,13.02,24.17153996,,T6.5,21:33,1.67,0,2.1,7.54,-,-,-,15.834,29.3957115,
T7,19:53,1.16,0,2.1,5.66,-,-,-,11.886,22.0662768,,T7,22:03,1.38,0,2.1,6.65,-,-,-,13.965,25.92592593,
T7.5,20:23,1.05,0,2.1,5.41,-,-,-,11.361,21.09161793,,T7.5,22:33,1.15,0,2.1,5.83,-,-,-,12.243,22.72904483,
T8,20:53,0.94,0,2.1,5.23,-,-,-,10.983,20.38986355,,T8,23:03,1.04,0,2.1,5.28,-,-,-,11.088,20.58479532,
T8.5,21:23,0.94,0,2.1,5.06,-,-,-,10.626,19.72709552,,T8.5,23:33,0.84,0,2.1,4.81,-,-,-,10.101,18.75243665,
T9,21:53,0.9,0,2.1,4.91,-,-,-,10.311,19.14230019,,T9(11/6/25),0:03,0.77,0,2.1,4.74,-,-,-,9.954,18.47953216,
T9.5,22:23,0.79,0,2.1,4.31,-,-,-,9.051,16.80311891,,T9.5,0:33,0.68,0,2.1,4.82,-,-,-,10.122,18.791423,
T10,22:53,0.74,0,2.1,4.22,-,-,-,8.862,16.45224172,,T10,1:03,0.69,0,2.1,4.88,-,-,-,10.248,19.02534113,
T10.5,23:23,0.72,0,2.1,4.32,-,-,-,9.072,16.84210526,,T10.5,1:33,0.66,0,2.1,5.02,-,-,-,10.542,19.5711501,
T11,23:53,0.71,0,2.1,4.18,-,-,-,8.778,16.2962963,,T11,2:03,0.6,0,2.1,5.13,-,-,-,10.773,20,
T11.5 (11/6/25),0:23,0.67,0,2.1,4.17,-,-,-,8.757,16.25730994,,T11.5,2:33,0.56,0,2.1,4.85,-,-,-,10.185,18.90838207,
T12,0:53,0.7,0,2.1,4.2,-,-,-,8.82,16.37426901,,T12,3:03,0.55,0,2.1,9.93,-,-,-,20.853,38.71345029,
T12.5,1:23,0.68,0,2.1,4.24,-,-,-,8.904,16.53021442,,T12.5,3:33,0.53,0,2.1,4.76,-,-,-,9.996,18.55750487,
T13,1:53,0.67,0,2.1,4.27,-,-,-,8.967,16.64717349,,T13,4:03,0.51,0,2.1,4.64,-,-,-,9.744,18.08966862,
T13.5,2:23,0.67,0,2.1,4.2,-,-,-,8.82,16.37426901,,T13.5,4:33,0.53,0,2.1,4.41,-,-,-,9.261,17.19298246,
T14,2:53,0.66,0,2.1,4.15,-,-,-,8.715,16.17933723,,T14,5:03,0.51,0,2.1,4.2,-,-,-,8.82,16.37426901,
T14.5,3:23,0.65,0,2.1,4.16,-,-,-,8.736,16.21832359,,T14.5,5:33,0.5,0,2.1,3.75,-,-,-,7.875,14.61988304,
T15,3:53,0.65,0,2.1,4.16,-,-,-,8.736,16.21832359,,T15,6:03,0.48,0,2.1,3.56,-,-,-,7.476,13.8791423,
T15.5,4:23,0.64,0,2.1,4.11,-,-,-,8.631,16.02339181,,T15.5,6:33,0.47,0,2.1,3.34,-,-,-,7.014,13.0214425,
T16,4:53,0.63,0,2.1,4.13,-,-,-,8.673,16.10136452,,T16,7:03,0.44,0,2.1,3.15,-,-,-,6.615,12.28070175,
T16.5,5:23,0.63,0,2.1,4.05,-,-,-,8.505,15.78947368,,T16.5,7:33,0.43,0,2.1,2.97,-,-,-,6.237,11.57894737,
T17,5:53,0.63,0,2.1,4.08,-,-,-,8.568,15.90643275,,T17,8:03,0.43,0,2.1,2.86,-,-,-,6.006,11.15009747,
T17.5,6:23,0.6,0,2.1,4.07,-,-,-,8.547,15.86744639,,T17.5,8:33,0.41,0,2.1,2.75,-,-,-,5.775,10.72124756,
T18,6:53,0.62,0,2.1,4.08,-,-,-,8.568,15.90643275,,T18,9:03,0.4,0,2.1,2.54,-,-,-,5.334,9.902534113,
T18.5,7:23,0.63,0,2.1,4.04,-,-,-,8.484,15.75048733,,T18.5,9:33,0.38,0,2.1,2.45,-,-,-,5.145,9.55165692,
T19,7:53,0.62,0,2.1,3.99,-,-,-,8.379,15.55555556,,T19,10:03,0.37,0,2.1,2.41,-,-,-,5.061,9.395711501,
T19.5,8:23,0.6,0,2.1,3.98,-,-,-,8.358,15.5165692,,T19.5,10:33,0.36,0,2.1,2.37,-,-,-,4.977,9.239766082,
T20,8:53,0.6,0,2.1,3.97,-,-,-,8.337,15.47758285,,T20,11:03,0.35,0,2.1,2.37,-,-,-,4.977,9.239766082,
T20.5,9:23,0.59,0,2.1,3.92,-,-,-,8.232,15.28265107,,T20.5,11:33,0.39,0,2.1,2.33,-,-,-,4.893,9.083820663,
T21,9:53,0.48,0,2.1,3.9,-,-,-,8.19,15.20467836,,T21,12:03,0.38,0,2.1,2.27,-,-,-,4.767,8.849902534,
T21.5,10:23,0.46,0,2.1,3.9,-,-,-,8.19,15.20467836,,T21.5,12:33,0.35,0,2.1,2.23,-,-,-,4.683,8.693957115,
T22,10:53,0.45,0,2.1,3.84,-,-,-,8.064,14.97076023,,T22,13:03,0.37,0,2.1,2.24,-,-,-,4.704,8.73294347,
T22.5,11:23,0.44,0,2.1,3.86,90.77%,0.3594492,0.03012184296,8.106,15.04873294,,T22.5,13:33,0.34,0,2.1,2.19,77.58%,0.2373948,0.01989368424,4.599,8.538011696,
T23,11:53,0.48,0,2.1,3.84,90.80%,0.392256,0.0328710528,8.064,14.97076023,,T23,14:03,0.45,0,2.1,2.14,87.77%,0.3554685,0.0297882603,4.494,8.343079922,
T23.5,12:23,0.43,0,2.1,3.8,92.01%,0.3560787,0.02983939506,7.98,14.81481481,,T23.5,14:33,0.43,0,2.1,2.1,61.89%,0.2395143,0.02007129834,4.41,8.187134503,
T24,12:53,0.46,0,2.1,3.78,90.60%,0.375084,0.0314320392,7.938,14.73684211,,T24,15:03,0.42,0,2.1,2.07,60.05%,0.2269701,0.01902009438,4.347,8.070175439,
,,,,,,,,,,,,,,,,,,,,,,,
Water Analysis,,,,,,,,,,,,Water Analysis,,,,,,,,,,,
,pH,TDS (ppm),EC (us/cm),Oil,,,,,,,,,pH,TDS (ppm),EC (us/cm),Oil,,,,,,,
T0,8.06,8950,17860,,,,,,,,,T0,8.29,9660,19320,,,,,,,,
T24,10.98,10170,20320,,,,,,,,,T24,11.73,9910,19880,,,,,,,,